AccountNumber,TaxMap,GPIN,LUC,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,,,
4093,31-1-0-3-B,6769-65-7284,SNGL FAM SUB,3.41,AC,87200,0,87200,139900,2000,229100,79000,0,79000,115200,2000,196200,A2,AG/LTD,,,
4094,31-1-0-3-C,6769-65-4306,SNGL FAM SUB,2.918,AC,84300,0,84300,206300,1700,292300,76000,0,76000,170600,1700,248300,A2,AG/LTD,,,
4095,15-1-0-32-A,5789-17-9992,SNGL FAM SUB,1.36,AC,40100,0,40100,146300,1300,187700,39300,0,39300,126600,1300,167200,A1,AG/GEN,,,
4096,20-1-0-55-0,6851-02-7891,AG 20-100 AC,32.95,AC,293000,226900,66100,121000,31300,445300,287300,224600,62700,109100,28700,425100,A1,AG/GEN,,,
4097,64-19-E-7-0,7733-48-5037,SNGL FAM SUB,1.143,AC,265000,0,265000,448000,9700,722700,220000,0,220000,394900,10100,625000,R1,RES/LTD,,,
4098,5-12-0-1-0,6823-66-8187,SNGL FAM SUB,5,AC,60100,0,60100,203500,9300,272900,59000,0,59000,177500,8000,244500,A1,AG/GEN,,,
4099,31-1-0-3-A,6769-86-2026,SNGL FAM SUB,3,AC,85300,0,85300,214100,3800,303200,75900,0,75900,177200,2600,255700,A2,AG/LTD,,,
4100,20-7-0-2-0,6840-42-0428,SNGL FAM SUB,1.01,AC,54100,0,54100,0,4500,58600,50000,0,50000,0,3900,53900,A1,AG/GEN,,,
4101,20-7-0-1-0,6840-42-0696,SNGL FAM SUB,1,AC,54000,0,54000,0,1400,55400,49900,0,49900,0,1300,51200,A1,AG/GEN,,,
4102,29-1-0-39-0,6748-52-4584,SNGL FAM SUB,3.78,AC,80800,0,80800,125500,9700,216000,76000,0,76000,105000,10400,191400,A1,AG/GEN,,,
4103,18-3-0-2-0,6810-71-8332,AG 20-100 AC,90,AC,275400,233300,42100,0,0,275400,270000,231600,38400,0,0,270000,A1,AG/GEN,,,
4104,5-12-0-2-0,6823-76-0614,SNGL FAM SUB,5.12,AC,54600,0,54600,19400,0,74000,53600,0,53600,22200,0,75800,A1,AG/GEN,,,
4106,26-6-0-3-0,6708-92-8068,SNGL FAM SUB,3.655,AC,53700,0,53700,165400,27300,246400,52600,0,52600,142300,23700,218600,A1,AG/GEN,,,
4107,5-1-0-76-B,6823-65-5841,SNGL FAM SUB,5.148,AC,60900,0,60900,269200,34400,364500,59700,0,59700,232700,30200,322600,A1,AG/GEN,,,
4109,20-1-0-68-0,6840-87-2230,SNGL FAM SUB,5.84,AC,73900,0,73900,267700,3200,344800,72400,0,72400,232100,3000,307500,A1,AG/GEN,,,
4110,20-1-0-71-0,6840-96-3022,SNGL FAM SUB,16.6,AC,75600,67900,7700,0,0,75600,74700,67600,7100,0,0,74700,A1,AG/GEN,,,
4111,19-11-0-4-0,6831-51-2283,SNGL FAM SUB,15.33,AC,152500,0,152500,76000,18400,246900,227900,138100,89800,65500,18400,311800,A1,AG/GEN,,,
4112,55-14-0-23-0,6785-39-9676,SNGL FAM SUB,15.756,AC,271500,0,271500,1109100,159600,1540200,242600,0,242600,907600,151900,1302100,A2,AG/LTD,,,
4113,4-1-0-19-0,6802-48-9780,AG 20-100 AC,25,AC,50400,38900,11500,0,0,50400,50000,39400,10600,0,0,50000,A1,AG/GEN,,,
4114,4-1-0-20-A,6802-58-6146,SNGL FAM SUB,5,AC,10800,8500,2300,0,0,10800,10000,7900,2100,0,0,10000,A1,AG/GEN,,,
4115,6-1-0-49-0,6832-18-8798,SNGL FAM SUB,19.56,AC,146300,0,146300,248100,35600,430000,142900,0,142900,213800,32000,388700,A1,AG/GEN,,,
4118,51-1-0-26-C,6735-38-8534,SNGL FAM SUB,11.04,AC,95000,0,95000,135300,500,230800,93200,0,93200,114400,500,208100,A1,AG/GEN,,,
4119,51-1-0-26-A,6735-38-3606,SNGL FAM SUB,9.91,AC,88700,35700,53000,142300,8100,239100,87000,35400,51600,123700,8400,219100,A1,AG/GEN,,,
4120,43-1-0-7-C,6767-67-0784,SNGL FAM SUB,1.675,AC,79800,0,79800,152700,11900,244400,71300,0,71300,121600,11200,204100,A2,AG/LTD,,,
4121,14-2-0-10-0,6851-26-8576,SNGL FAM SUB,7.55,AC,85900,0,85900,0,0,85900,84200,0,84200,0,0,84200,A1,AG/GEN,,,
4130,7-1-0-7-0,6842-17-5052,AG 20-100 AC,59.575,AC,217000,189500,27500,0,0,217000,212800,187500,25300,0,0,212800,A1,AG/GEN,,,
4131,5-1-0-14-0,6813-73-7326,SNGL FAM SUB,1.87,AC,44100,0,44100,0,24400,68500,43400,0,43400,0,20800,64200,A1,AG/GEN,,,
4132,9-4-0-1-0,5892-71-4015,SNGL FAM SUB,1.02,AC,38900,0,38900,10600,300,49800,38100,0,38100,10500,300,48900,A1,AG/GEN,,,
4135,67-2-A-6-0,7723-56-9303,SNGL FAM SUB,0,AC,184000,0,184000,449300,12600,645900,160000,0,160000,371000,11200,542200,R1,RES/LTD,,,
4136,19-1-0-54-B,6830-65-1486,AG 20-100 AC,26,AC,203900,138000,65900,208000,5500,417400,192400,131800,60600,178200,5500,376100,A1,AG/GEN,,,
4137,4-1-0-38-0,6803-98-2323,SNGL FAM SUB,1.93,AC,44400,0,44400,138600,14200,197200,43700,0,43700,120900,12200,176800,A1,AG/GEN,,,
4139,64-4-2-32-0,7724-93-5169,SNGL FAM SUB,0,AC,20200,0,20200,0,4500,24700,17600,0,17600,0,2000,19600,RN,RESIDEN,,,
4140,64-4-2-33-0,7724-93-5268,SNGL FAM SUB,0,AC,70000,0,70000,162500,4100,236600,60000,0,60000,137400,4100,201500,RN,RESIDEN,,,
4141,56-1-0-76-0,6796-90-3034,AG 20-100 AC,22.36,AC,611800,425200,186600,586000,63600,1261400,531200,368900,162300,505500,54800,1091500,A2,AG/LTD,,,
4142,44-4-0-3-A,6787-13-8822,SNGL FAM SUB,1.04,AC,62000,0,62000,0,0,62000,55300,0,55300,0,0,55300,A2,AG/LTD,,,
4143,51-8-0-10-0,6735-49-7105,SNGL FAM SUB,3.43,AC,48500,0,48500,0,0,48500,47600,0,47600,0,0,47600,A1,AG/GEN,,,
4144,51-8-0-11-0,6735-49-9151,SNGL FAM SUB,3.44,AC,48600,0,48600,0,0,48600,47600,0,47600,0,0,47600,A1,AG/GEN,,,
4145,29-12-0-4-0,6748-78-0482,SNGL FAM SUB,1.375,AC,57800,0,57800,80000,500,138300,53400,0,53400,66800,500,120700,A1,AG/GEN,,,
4146,51-8-0-2-0,6736-30-9006,SNGL FAM SUB,2.77,AC,44800,0,44800,50400,1000,96200,43900,0,43900,43900,1000,88800,A1,AG/GEN,,,
4147,51-8-0-2-A,6736-30-8350,SNGL FAM SUB,0.65,AC,4000,0,4000,0,0,4000,3900,0,3900,0,0,3900,A1,AG/GEN,,,
4307,12-2-0-5-0,6821-94-8400,SNGL FAM SUB,5,AC,63000,0,63000,122700,0,185700,62300,0,62300,100500,1000,163800,A1,AG/GEN,,,
4308,12-1-0-41-B,6831-33-4977,SNGL FAM SUB,2.109,AC,52300,0,52300,143100,7800,203200,51600,0,51600,119000,6200,176800,A1,AG/GEN,,,
4309,20-1-0-44-A,6840-45-9139,SNGL FAM SUB,1,AC,47000,0,47000,0,0,47000,44700,0,44700,0,0,44700,A1,AG/GEN,,,
4310,30-1-0-60-B,6759-42-9403,SNGL FAM SUB,1.01,AC,54100,0,54100,108000,1500,163600,50000,0,50000,89400,1500,140900,A2,AG/LTD,,,
4311,43-21-0-22-0,6767-41-5733,SNGL FAM SUB,1.118,AC,71900,0,71900,276600,9200,357700,64200,0,64200,223700,8300,296200,A2,AG/LTD,,,
4312,7-1-0-5-0,6843-21-4016,SNGL FAM SUB,0.78,AC,31500,0,31500,0,2500,34000,30400,0,30400,0,2500,32900,A1,AG/GEN,,,
4313,29-10-0-D-0,6749-85-8855,SNGL FAM SUB,1.15,AC,55500,0,55500,293300,0,348800,51400,0,51400,251200,0,302600,A1,AG/GEN,,,
4314,5-1-0-43-0,6823-07-9753,SNGL FAM SUB,11.5,AC,87300,0,87300,0,0,87300,85700,0,85700,0,0,85700,A1,AG/GEN,,,
4315,38-3-0-10-A,6717-36-1999,SNGL FAM SUB,0.5,AC,7600,0,7600,0,0,7600,7400,0,7400,0,0,7400,A1,AG/GEN,,,
4316,38-3-0-4-0,6717-16-6305,AG 20-100 AC,20,AC,126000,0,126000,0,0,126000,133000,0,133000,0,0,133000,A1,AG/GEN,,,
4477,17-3-0-2-0,6709-39-6564,SNGL FAM SUB,4.411,AC,54500,0,54500,134800,0,189300,56800,0,56800,109800,0,166600,A1,AG/GEN,,,
4478,29-14-0-2-0,6749-51-2082,SNGL FAM SUB,2.78,AC,71500,0,71500,259100,0,330600,66600,0,66600,218100,0,284700,A1,AG/GEN,,,
4479,39-1-0-46-0,6727-12-0116,SNGL FAM SUB,2.51,AC,47300,0,47300,0,0,47300,46300,0,46300,0,0,46300,A1,AG/GEN,,,
4480,39-1-0-45-0,6727-12-3158,SNGL FAM SUB,1,AC,38800,0,38800,63200,800,102800,38000,0,38000,54800,800,93600,A1,AG/GEN,,,
4481,45-1-0-91-F,6797-86-9868,SNGL FAM SUB,5.828,AC,149600,0,149600,0,0,149600,133700,0,133700,0,0,133700,A2,AG/LTD,,,
4482,45-1-0-91-E,6797-86-8491,SNGL FAM SUB,1.649,AC,87000,0,87000,177200,23900,288100,77700,0,77700,145800,19800,243300,A2,AG/LTD,,,
4483,20-1-0-82-0,6840-61-0520,AG 20-100 AC,54.1,AC,473300,370500,102800,177800,10800,661900,460600,363600,97000,149800,10800,621200,A1,AG/GEN,,,
4484,48-5-0-2-0,7728-91-7877,SNGL FAM SUB,9.89,AC,349700,246300,103400,127900,11200,488800,312400,220100,92300,106700,11200,430300,A2,AG/LTD,,,
4485,17-1-0-76-0,6800-90-2804,AG > 100 AC,104.03,AC,265600,217600,48000,0,0,265600,260100,215900,44200,0,0,260100,A1,AG/GEN,,,
4486,57-1-0-30-B,7706-02-7280,SNGL FAM SUB,1,AC,94900,0,94900,119100,1500,215500,82500,0,82500,101500,1500,185500,A2,AG/LTD,,,
4487,45-15-0-3-0,6797-52-5409,SNGL FAM SUB,7.57,AC,175900,0,175900,448800,0,624700,157200,0,157200,375200,0,532400,A2,AG/LTD,,,
4488,55-1-0-16-0,6785-17-3025,SNGL FAM SUB,4.95,AC,124600,0,124600,84100,0,208700,111200,0,111200,70900,0,182100,A2,AG/LTD,,,
4490,26-1-0-64-0,6719-04-9187,SNGL FAM SUB,10.25,AC,90400,0,90400,136800,43300,270500,88900,0,88900,115500,38500,242900,A1,AG/GEN,,,
4491,28-1-0-18-0,6728-97-2433,SNGL FAM SUB,1.7,AC,43400,0,43400,91900,900,136200,42600,0,42600,79000,900,122500,A1,AG/GEN,,,
4492,38-1-0-25-B,6707-77-3789,SNGL FAM SUB,1.05,AC,39100,0,39100,114800,100,154000,38300,0,38300,98200,100,136600,A1,AG/GEN,,,
4148,51-8-0-9-0,6735-49-4201,SNGL FAM SUB,3.43,AC,48500,0,48500,70800,300,119600,47600,0,47600,69700,300,117600,A1,AG/GEN,,,
4149,12-1-0-45-B,6831-05-7058,SNGL FAM SUB,2,AC,47600,0,47600,162900,300,210800,47300,0,47300,135300,300,182900,A1,AG/GEN,,,
4150,46-1-0-56-A,7716-08-7253,SNGL FAM SUB,1,AC,92400,0,92400,76200,2600,171200,82500,0,82500,64100,2600,149200,A2,AG/LTD,,,
4151,51-1-0-30-0,6736-30-7428,SNGL FAM SUB,3.94,AC,51400,0,51400,0,0,51400,50400,0,50400,0,0,50400,A1,AG/GEN,,,
4152,18-1-0-64-A,6820-46-0662,SNGL FAM SUB,3.22,AC,53300,0,53300,229200,15900,298400,51300,0,51300,187800,15900,255000,A1,AG/GEN,,,
4153,46-15-0-1-0,7707-92-1221,SNGL FAM SUB,5,AC,187800,0,187800,94500,4800,287100,167600,0,167600,79600,4400,251600,A2,AG/LTD,,,
4154,12-1-0-10-0,6832-26-9653,SNGL FAM SUB,0.88,AC,5000,4600,400,0,0,5000,4900,4500,400,0,0,4900,A1,AG/GEN,,,
4155,12-1-0-11-0,6832-24-5250,AG > 100 AC,189.4,AC,927800,840500,87300,0,0,927800,906800,826300,80500,0,0,906800,A1,AG/GEN,,,
4156,38-1-0-90-0,6717-06-6039,SNGL FAM SUB,2.74,AC,48500,0,48500,97400,26100,172000,47600,0,47600,83600,22500,153700,A1,AG/GEN,,,
4157,32-1-0-54-0,6778-95-2074,SNGL FAM SUB,2.777,AC,89700,0,89700,144800,2500,237000,80100,0,80100,121900,2500,204500,A2,AG/LTD,,,
4158,45-1-0-125-A,6797-78-4447,SNGL FAM SUB,6.65,AC,128500,0,128500,103500,0,232000,114800,0,114800,86900,0,201700,A2,AG/LTD,,,
4159,45-1-0-125-B,6797-68-9579,SNGL FAM SUB,4,AC,98300,0,98300,132900,0,231200,87800,0,87800,108900,0,196700,A2,AG/LTD,,,
4160,47-1-0-26-0,7716-57-7650,SNGL FAM SUB,1,AC,99000,0,99000,182100,8800,289900,88400,0,88400,153800,8800,251000,A2,AG/LTD,,,
4163,44-17-0-4-0,6787-23-6605,SNGL FAM SUB,1.36,AC,75800,0,75800,131200,0,207000,67700,0,67700,100700,0,168400,A2,AG/LTD,,,
4164,44-17-0-6-0,6787-24-6011,SNGL FAM SUB,3.23,AC,96900,0,96900,82000,0,178900,86500,0,86500,58500,0,145000,A2,AG/LTD,,,
4165,58-1-0-41-0,7715-72-3445,SNGL FAM SUB,0.95,AC,109300,0,109300,105700,500,215500,95100,0,95100,91100,500,186700,A2,AG/LTD,,,
4166,56-7-0-3-0,6785-94-0741,SNGL FAM SUB,3,AC,100300,0,100300,0,8300,108600,89600,0,89600,0,7400,97000,A2,AG/LTD,,,
4167,58-4-H-46-0,7716-56-9939,SNGL FAM SUB,0,AC,77500,0,77500,100500,500,178500,70500,0,70500,84200,500,155200,A2,AG/LTD,,,
4168,58-4-H-47-0,7716-57-9017,SNGL FAM SUB,0,AC,20100,0,20100,0,0,20100,18300,0,18300,0,0,18300,A2,AG/LTD,,,
4169,39-4-0-4-0,6726-57-3748,SNGL FAM SUB,5.46,AC,66000,0,66000,130100,1300,197400,64800,0,64800,110000,1300,176100,A1,AG/GEN,,,
4170,17-1-0-104-0,6810-56-1698,SNGL FAM SUB,1.84,AC,45000,0,45000,166100,0,211100,42600,0,42600,135800,0,178400,A1,AG/GEN,,,
4171,17-1-0-106-0,6810-56-0972,SNGL FAM SUB,2.32,AC,47900,0,47900,187600,1500,237000,45300,0,45300,154400,1500,201200,A1,AG/GEN,,,
4172,17-1-0-107-0,6810-47-9166,SNGL FAM SUB,2.89,AC,51300,0,51300,0,0,51300,48400,0,48400,0,0,48400,A1,AG/GEN,,,
4173,43-1-0-5-E,6767-58-2284,SNGL FAM SUB,4.805,AC,117700,0,117700,134400,2800,254900,105200,0,105200,110200,2800,218200,A2,AG/LTD,,,
4174,58-22-A-15-0,7715-37-6994,SNGL FAM SUB,4.82,AC,480000,0,480000,0,0,480000,440000,0,440000,0,0,440000,A2,AG/LTD,,,
4175,18-1-0-10-0,6810-56-4930,SNGL FAM SUB,2,AC,46000,0,46000,48300,1400,95700,44000,0,44000,40500,1000,85500,A1,AG/GEN,,,
4176,31-1-0-24-0,6768-75-4864,AG 20-100 AC,48.7,AC,309000,0,309000,71800,5500,386300,279300,0,279300,60300,3200,342800,A2,AG/LTD,,,
4177,2-1-0-9-C,6824-05-3817,SNGL FAM SUB,3.449,AC,48200,0,48200,0,0,48200,47300,0,47300,0,0,47300,A1,AG/GEN,,,
4178,2-1-0-9-E,6814-96-0289,SNGL FAM SUB,2.874,AC,33600,0,33600,0,0,33600,32900,0,32900,0,0,32900,B1A1,BS & AG,,,
4179,2-1-0-9-A,6814-96-4334,COMM & IND,5.2,AC,120900,0,120900,93300,3200,217400,117300,0,117300,71500,3400,192200,A1B1,AG GEN/,,,
4180,57-1-0-28-A,7706-01-6478,SNGL FAM SUB,1.71,AC,113600,0,113600,159300,1000,273900,98800,0,98800,136600,1000,236400,A2,AG/LTD,,,
4182,43-1-0-57-0,6768-81-0184,SNGL FAM SUB,5.2,AC,130600,0,130600,31600,300,162500,116800,0,116800,26600,300,143700,A2,AG/LTD,,,
4183,58-1-0-4-0,7716-37-3153,SNGL FAM SUB,3,AC,134200,0,134200,77600,400,212200,119800,0,119800,65100,400,185300,A2,AG/LTD,,,
4184,7-1-0-14-0,6842-57-9781,AG 20-100 AC,68.6,AC,306500,215700,90800,226200,5700,538400,206100,137200,68900,150100,4700,360900,A1,AG/GEN,,,
4186,55-1-0-79-A,6785-79-3452,SNGL FAM SUB,5.06,AC,126100,0,126100,181100,7100,314300,112500,0,112500,147900,6700,267100,A2,AG/LTD,,,
4187,14-3-0-11-0,6851-48-0936,SNGL FAM SUB,3.21,AC,68300,0,68300,181600,29100,279000,66900,0,66900,153600,26000,246500,A1,AG/GEN,,,
4188,45-16-0-17-0,6798-52-6067,SNGL FAM SUB,1.97,AC,86300,0,86300,265900,1000,353200,77000,0,77000,217300,1000,295300,A2,AG/LTD,,,
4189,58-1-0-108-0,7725-08-8754,SNGL FAM SUB,1.46,AC,123600,0,123600,88600,4700,216900,107500,0,107500,75500,4000,187000,A2,AG/LTD,,,
4190,15-5-0-28-0,5789-78-6346,SNGL FAM SUB,8.16,AC,64600,0,64600,326200,0,390800,63100,0,63100,280800,0,343900,A1,AG/GEN,,,
4191,63-1-0-172-0,7724-41-2587,SNGL FAM SUB,0.095,AC,1900,0,1900,0,0,1900,1700,0,1700,0,0,1700,A2,AG/LTD,,,
4192,63-1-0-172-A,7724-41-4566,SNGL FAM SUB,6.34,AC,129300,0,129300,0,0,129300,112200,0,112200,0,0,112200,A2,AG/LTD,,,
4193,57-10-0-10-0,7705-66-1500,SNGL FAM SUB,3.44,AC,230000,0,230000,427900,0,657900,210000,0,210000,398700,0,608700,A2,AG/LTD,,,
4195,45-1-0-50-0,6796-47-5911,SNGL FAM SUB,3.86,AC,127900,0,127900,214500,12600,355000,114100,0,114100,176700,12600,303400,A2,AG/LTD,,,
4196,40-1-0-22-0,6726-97-1353,SNGL FAM SUB,12.86,AC,116200,66300,49900,192900,44800,353900,114200,66100,48100,166100,37700,318000,A1,AG/GEN,,,
4197,45-5-0-2-0,6797-68-7144,COMM & IND,5.77,AC,470300,0,470300,677400,51300,1199000,447800,0,447800,641800,51900,1141500,M1,INDUS/L,,,
4198,45-5-0-1-0,6797-68-2197,COMM & IND,4.03,AC,345800,0,345800,0,0,345800,329300,0,329300,0,0,329300,M1,INDUS/L,,,
4199,56-1-0-78-0,6796-72-2137,SNGL FAM SUB,4.547,AC,229900,0,229900,754500,30000,1014400,199800,0,199800,639100,30000,868900,A2,AG/LTD,,,
4201,42-1-0-90-C,6767-15-0438,SNGL FAM SUB,6.658,AC,171700,0,171700,372000,47200,590900,155400,0,155400,308500,40300,504200,A2R3,AGRIC.R,,,
4202,55-1-0-30-A,6785-56-7583,SNGL FAM SUB,1.63,AC,80500,0,80500,176700,0,257200,71900,0,71900,145000,0,216900,R2,RES/LTD,,,
4203,55-16-0-4-0,6776-64-9226,SNGL FAM SUB,4.3,AC,126900,0,126900,266700,11900,405500,113500,0,113500,222200,10600,346300,A2,AG/LTD,,,
4204,45-16-0-15-0,6798-62-1015,SNGL FAM SUB,2.09,AC,87900,0,87900,386700,25900,500500,78500,0,78500,329600,22700,430800,A2,AG/LTD,,,
4205,48-1-0-58-AT,7738-30-9741-9999,COMM & IND,15.14,AC,904200,0,904200,334100,348600,1586900,866500,0,866500,330100,322300,1518900,M2,INDUS/G,,,
4207,31-7-0-9-B,6779-55-4692,SNGL FAM SUB,2.4,AC,84300,0,84300,104500,1000,189800,75300,0,75300,80700,1000,157000,A2,AG/LTD,,,
4208,10-1-0-47-0,6811-02-4996,AG 20-100 AC,53,AC,110800,0,110800,0,0,110800,106000,0,106000,0,0,106000,A1,AG/GEN,,,
4209,16-1-0-57-0,6800-09-4939,AG 20-100 AC,45,AC,92300,0,92300,0,0,92300,90000,0,90000,0,0,90000,A1,AG/GEN,,,
4210,15-1-0-8-0,5890-11-0845,AG > 100 AC,384.28,AC,766500,465100,301400,0,46600,813100,745400,454000,291400,0,16900,762300,A1,AG/GEN,,,
4211,37-1-0-8-0,6706-39-4395,COMM & IND,2.25,AC,43900,0,43900,37000,0,80900,42500,0,42500,38500,0,81000,M2,INDUS/G,,,
4212,37-1-0-10-0,6706-39-4237,COMM & IND,0,AC,0,0,0,0,100,100,0,0,0,0,100,100,M2,INDUS/G,,,
4213,38-1-0-47-0,6707-50-4723,SNGL FAM SUB,2,AC,38100,37200,900,0,0,38100,37300,36400,900,0,0,37300,A1,AG/GEN,,,
4214,38-1-0-48-0,6707-40-9148,SNGL FAM SUB,14,AC,105100,98600,6500,0,0,105100,103000,97000,6000,0,0,103000,A1M2,AG/GEN,,,
4215,38-1-0-49-0,6707-40-3486,AG 20-100 AC,45.25,AC,185500,164600,20900,0,0,185500,181000,161800,19200,0,0,181000,A1M2,AG/GEN,,,
4216,38-1-0-49-A,6706-49-9430,AG 20-100 AC,46,AC,152400,113100,39300,0,0,152400,148800,111400,37400,0,0,148800,A1M2,AG/GEN,,,
4217,38-1-0-54-0,6706-59-5023,AG 20-100 AC,39.833,AC,163300,144900,18400,0,0,163300,159300,142400,16900,0,0,159300,A1,AG/GEN,,,
4218,30-1-0-115-B,6759-54-8714,SNGL FAM SUB,2.5,AC,66900,0,66900,43700,0,110600,60800,0,60800,36800,0,97600,A2,AG/LTD,,,
4219,63-21-0-2-0,7715-92-6033,SNGL FAM SUB,10,AC,313600,0,313600,0,0,313600,272500,0,272500,0,0,272500,A2,AG/LTD,,,
4220,63-16-0-1-0,7715-60-8681,SNGL FAM SUB,2.68,AC,149400,0,149400,139000,1200,289600,129900,0,129900,118800,1200,249900,A2,AG/LTD,,,
4221,58-21-A-8-0,7716-43-5724,SNGL FAM SUB,1.321,AC,310000,0,310000,583900,0,893900,285000,0,285000,532600,0,817600,A2,AG/LTD,,,
4222,63-1-0-106-0,7715-41-3723,SNGL FAM SUB,1.55,AC,129200,0,129200,175300,0,304500,112400,0,112400,147200,0,259600,A2,AG/LTD,,,
4223,56-1-0-18-0,6785-84-0473,SNGL FAM SUB,9.06,AC,191800,0,191800,0,0,191800,171400,0,171400,0,0,171400,A2,AG/LTD,,,
4224,63-33-0-1-0,7715-50-8984,SNGL FAM SUB,3.94,AC,168400,0,168400,219600,3200,391200,146300,0,146300,184700,3200,334200,A2,AG/LTD,,,
4225,63-1-0-107-0,7715-41-1688,SNGL FAM SUB,0.46,AC,88300,0,88300,161200,100,249600,76800,0,76800,136200,100,213100,A2,AG/LTD,,,
4226,63-1-0-96-A,7715-50-9113,SNGL FAM SUB,0.692,AC,90000,0,90000,128100,600,218700,78300,0,78300,114300,600,193200,A2,AG/LTD,,,
4227,63-1-0-132-0,7715-61-9755,SNGL FAM SUB,3.87,AC,166900,0,166900,202800,34400,404100,145100,0,145100,170500,29600,345200,A2,AG/LTD,,,
4228,63-1-0-97-0,7715-50-4025,SNGL FAM SUB,1.5,AC,118600,0,118600,101000,3800,223400,103200,0,103200,85700,3800,192700,A2,AG/LTD,,,
4229,63-1-0-130-0,7715-61-6870,SNGL FAM SUB,1.5,AC,113200,0,113200,188700,26000,327900,98500,0,98500,159700,22000,280200,A2,AG/LTD,,,
4230,15-1-0-17-0,5880-55-4957,SNGL FAM SUB,3.153,AC,41900,0,41900,37700,600,80200,41000,0,41000,31700,600,73300,A1,AG/GEN,,,
4231,48-3-D-4-0,7726-57-7540,SNGL FAM SUB,0,AC,130000,0,130000,174700,1500,306200,117000,0,117000,155500,1500,274000,R1,RES/LTD,,,
4234,1-1-0-22-B,6804-77-9235,SNGL FAM SUB,1.257,AC,41000,0,41000,113700,12400,167100,40300,0,40300,99300,8900,148500,A1,AG/GEN,,,
4235,1-2-0-1-C,6804-54-2282,SNGL FAM SUB,4.004,AC,55000,0,55000,318500,2000,375500,54000,0,54000,277700,2000,333700,A1,AG/GEN,,,
4236,67-10-0-14-0,7733-14-2967,SNGL FAM SUB,0,AC,340000,0,340000,478800,2400,821200,285000,0,285000,393900,2500,681400,R1,RES/LTD,,,
4237,39-1-0-66-A,6726-06-9509,SNGL FAM SUB,0.64,AC,31000,0,31000,88600,600,120200,30400,0,30400,75800,600,106800,A1,AG/GEN,,,
4238,39-1-0-68-C,6726-06-8760,SNGL FAM SUB,0.41,AC,2500,0,2500,0,0,2500,2500,0,2500,0,0,2500,A1,AG/GEN,,,
4239,18-5-0-A-0,6820-41-5629,AG 20-100 AC,37.1,AC,209300,151900,57400,281800,27900,519000,200200,146700,53500,235400,27900,463500,A1,AG/GEN,,,
4240,18-5-0-A-6,6820-42-7485,SNGL FAM SUB,10.13,AC,89800,84900,4900,0,0,89800,88200,83800,4400,0,0,88200,A1,AG/GEN,,,
4241,19-1-0-54-C,6830-35-2935,SNGL FAM SUB,10.577,AC,128400,69500,58900,406200,62100,596700,119800,65800,54000,334000,53000,506800,A1,AG/GEN,,,
4242,19-1-0-33-0,6830-45-1856,AG 20-100 AC,50.423,AC,394200,262900,131300,358400,11400,764000,375800,255300,120500,299400,11400,686600,A1,AG/GEN,,,
4243,12-1-0-16-0,6822-71-3556,AG 20-100 AC,71.56,AC,350400,313000,37400,0,18500,368900,343500,308700,34800,0,18700,362200,A1,AG/GEN,,,
4244,12-1-0-15-0,6822-81-3792,AG 20-100 AC,50,AC,292200,229300,62900,385200,11000,688400,286000,226200,59800,337300,11500,634800,A1,AG/GEN,,,
4245,19-1-0-45-0,6831-70-3102,AG 20-100 AC,83.717,AC,378200,338300,39900,0,32000,410200,291900,267900,24000,0,28800,320700,A1,AG/GEN,,,
4246,19-1-0-45-A,6831-70-4833,SNGL FAM SUB,2,AC,63800,9300,54500,207000,0,270800,59800,9500,50300,173700,0,233500,A1,AG/GEN,,,
4247,19-1-0-2-B,6821-81-5076,SNGL FAM SUB,3,AC,51100,0,51100,193100,1000,245200,50900,0,50900,160800,1000,212700,A1,AG/GEN,,,
4248,20-6-0-1-0,6840-71-5079,SNGL FAM SUB,4.01,AC,82300,0,82300,99200,900,182400,81200,0,81200,82100,900,164200,A1,AG/GEN,,,
4249,1-1-0-20-B,6804-77-9716,SNGL FAM SUB,3.38,AC,51800,0,51800,125000,2500,179300,50900,0,50900,108800,2500,162200,A1,AG/GEN,,,
4250,30-1-0-29-0,6758-26-3243,SNGL FAM SUB,4.37,AC,86100,0,86100,0,0,86100,81600,0,81600,0,0,81600,A1A2,AG GEN/,,,
4251,30-2-0-2-0,6758-35-9710,SNGL FAM SUB,6.448,AC,88900,0,88900,93600,500,183000,81600,0,81600,78400,500,160500,A2,AG/LTD,,,
4252,44-2-0-8-0,6787-73-5721,SNGL FAM SUB,1.74,AC,76800,0,76800,147100,2000,225900,68600,0,68600,126500,2000,197100,A2,AG/LTD,,,
4254,19-1-0-26-A,6739-18-8464,SNGL FAM SUB,1.01,AC,54100,0,54100,98700,0,152800,50000,0,50000,82400,0,132400,A1,AG/GEN,,,
4255,12-1-0-9-0,6832-16-7216,SNGL FAM SUB,15.97,AC,125800,0,125800,0,0,125800,122800,0,122800,0,0,122800,A1,AG/GEN,,,
4256,31-1-0-102-A,6768-82-8916,SNGL FAM SUB,2.74,AC,89200,0,89200,246000,15700,350900,79600,0,79600,212400,16100,308100,A2,AG/LTD,,,
