AccountNumber,TaxMap,GPIN,LUC,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,,,
58,20-15-0-1-0,6840-35-8516,SNGL FAM SUB,2,AC,56800,0,56800,131100,3700,191600,54100,0,54100,108100,3700,165900,A1,AG/GEN,,,
59,20-15-0-2-0,6840-45-0405,SNGL FAM SUB,2,AC,56800,0,56800,213600,1500,271900,54100,0,54100,176600,1500,232200,A1,AG/GEN,,,
60,20-15-0-3-0,6840-45-2360,SNGL FAM SUB,2.08,AC,57600,0,57600,188500,2000,248100,54900,0,54900,157200,2000,214100,A1,AG/GEN,,,
70,22-1-0-2-D,6769-58-4902,SNGL FAM SUB,1.8,AC,70900,0,70900,0,0,70900,64700,0,64700,0,0,64700,A2,AG/LTD,,,
71,25-1-0-16-0,6709-11-6109,AG > 100 AC,112.515,AC,225000,171800,53200,0,1000,226000,225000,177000,48000,0,1000,226000,A1,AG/GEN,,,
72,25-1-0-17-0,6709-22-9670,AG 20-100 AC,50,AC,96900,73200,23700,0,0,96900,95000,73700,21300,0,0,95000,A1,AG/GEN,,,
73,27-1-0-66-A,6728-38-3674,SNGL FAM SUB,3.79,AC,57200,0,57200,216700,900,274800,56100,0,56100,197700,900,254700,A1,AG/GEN,,,
75,29-20-0-1-0,6749-53-7948,SNGL FAM SUB,3.29,AC,67100,0,67100,125700,500,193300,62600,0,62600,98700,500,161800,A1,AG/GEN,,,
76,29-20-0-2-0,6749-54-9127,SNGL FAM SUB,1.64,AC,53400,0,53400,100100,800,154300,50700,0,50700,82600,800,134100,A1,AG/GEN,,,
77,29-20-0-3-0,6749-63-0993,SNGL FAM SUB,2.03,AC,57300,0,57300,163900,400,221600,52700,0,52700,139700,400,192800,A1,AG/GEN,,,
78,29-20-0-4-0,6749-63-2896,SNGL FAM SUB,1.87,AC,55700,0,55700,9800,300,65800,51500,0,51500,10200,300,62000,A1,AG/GEN,,,
79,29-20-0-5-0,6749-63-5805,SNGL FAM SUB,1.63,AC,53300,0,53300,181800,800,235900,49600,0,49600,138800,800,189200,A1,AG/GEN,,,
80,29-20-0-6-0,6749-63-7842,SNGL FAM SUB,2.34,AC,63300,0,63300,89500,1100,153900,59200,0,59200,74400,1100,134700,A1,AG/GEN,,,
81,30-1-0-14-A,6759-42-4038,SNGL FAM SUB,2.5,AC,68900,0,68900,167100,2500,238500,65500,0,65500,138700,2500,206700,A2,AG/LTD,,,
82,30-1-0-14-B,6759-42-0014,SNGL FAM SUB,2.16,AC,65600,0,65600,151500,0,217100,62000,0,62000,125300,0,187300,A2,AG/LTD,,,
83,30-1-0-14-C,6759-32-9206,SNGL FAM SUB,5.61,AC,96800,0,96800,150900,28000,275700,90500,0,90500,124700,23300,238500,A1A2,AG GEN/,,,
84,30-1-0-101-B,6769-20-6910,SNGL FAM SUB,2.39,AC,95200,0,95200,245000,3700,343900,91000,0,91000,223500,3700,318200,A2,AG/LTD,,,
85,31-1-0-53-A,6769-86-8512,SNGL FAM SUB,1.81,AC,71000,0,71000,162100,4500,237600,63900,0,63900,134200,4500,202600,A2,AG/LTD,,,
86,31-1-0-53-B,6769-86-6663,SNGL FAM SUB,2.04,AC,73900,0,73900,148600,33000,255500,66400,0,66400,122600,31300,220300,A2,AG/LTD,,,
87,31-21-0-1-0,6769-95-7322,SNGL FAM SUB,2.098,AC,74600,0,74600,165200,22900,262700,68300,0,68300,137100,19600,225000,A2,AG/LTD,,,
88,31-21-0-2-0,6769-95-8666,SNGL FAM SUB,1.85,AC,71500,0,71500,151100,0,222600,65300,0,65300,124900,0,190200,A2,AG/LTD,,,
89,31-21-0-3-0,6779-05-0523,SNGL FAM SUB,1.69,AC,69600,0,69600,170300,2000,241900,63400,0,63400,142300,2000,207700,A2,AG/LTD,,,
90,31-22-0-1-0,6779-44-8971,SNGL FAM SUB,2.454,AC,82300,0,82300,180100,2000,264400,73500,0,73500,146200,2000,221700,A2,AG/LTD,,,
91,31-22-0-2-0,6779-55-0058,SNGL FAM SUB,2.561,AC,83600,0,83600,193800,2500,279900,74700,0,74700,158300,2500,235500,A2,AG/LTD,,,
92,31-22-0-3-0,6779-55-1286,SNGL FAM SUB,2.64,AC,87700,0,87700,150000,1500,239200,78400,0,78400,122700,1500,202600,A2,AG/LTD,,,
93,31-22-0-4-0,6779-54-3646,SNGL FAM SUB,6.148,AC,119700,0,119700,182000,20800,322500,106600,0,106600,149200,18300,274100,A2,AG/LTD,,,
94,31-22-0-5-0,6779-54-6198,SNGL FAM SUB,5.498,AC,112700,0,112700,154500,17400,284600,100400,0,100400,127600,15300,243300,A2,AG/LTD,,,
95,31-22-0-6-0,6779-63-0653,SNGL FAM SUB,5.89,AC,116900,0,116900,322200,3400,442500,104100,0,104100,267700,3500,375300,A2,AG/LTD,,,
96,33-6-0-1-0,6798-34-9785,SNGL FAM SUB,1.519,AC,83900,0,83900,269200,1500,354600,74900,0,74900,219200,1500,295600,RR,RES/RUR,,,
97,33-6-0-2-0,6798-34-6763,SNGL FAM SUB,1.598,AC,85000,0,85000,308200,0,393200,75900,0,75900,249000,0,324900,RR,RES/RUR,,,
98,33-6-0-3-0,6798-34-4456,SNGL FAM SUB,2.519,AC,97700,0,97700,304300,1000,403000,87200,0,87200,259500,1000,347700,RR,RES/RUR,,,
99,33-6-0-4-0,6798-34-4135,SNGL FAM SUB,2.01,AC,90600,0,90600,308000,0,398600,80900,0,80900,256200,0,337100,RR,RES/RUR,,,
101,31-1-0-103-A,6768-91-3979,Roads,1.16,AC,0,0,0,0,0,0,0,0,0,0,0,0,A2,AG/LTD,,,
108,62-11-0-A-0,7714-02-0500,COMM & IND,17.69,AC,1464200,0,1464200,9764900,7400,11236500,1355900,0,1355900,9765100,7400,11128400,M2,INDUS/G,,,
111,62-1-0-9-A,7704-92-2013,COMM & IND,21.586,AC,418600,0,418600,0,0,418600,387500,0,387500,0,0,387500,A2,AG/LTD,,,
112,62-1-0-10-A,7714-03-3194,COMM & IND,1.157,AC,159500,0,159500,0,0,159500,145000,0,145000,0,0,145000,B1,BUS/GEN,,,
113,62-1-0-10-B,7714-02-7976,COMM & IND,6.567,AC,862200,0,862200,693300,276500,1832000,783600,0,783600,671000,236300,1690900,B1,BUS/GEN,,,
114,62-1-0-10-C,7714-13-3152,COMM & IND,1.711,AC,224600,0,224600,0,75200,299800,204200,0,204200,0,70300,274500,B1,BUS/GEN,,,
115,62-1-0-10-D,7714-03-9195,COMM & IND,3.483,AC,457300,0,457300,486800,102700,1046800,415600,0,415600,468800,95000,979400,B1,BUS/GEN,,,
122,57-4-0-2-B,7705-28-7475,SNGL FAM SUB,18.1,AC,618800,0,618800,380100,58500,1057400,538500,0,538500,371300,48100,957900,A2,AG/LTD,,,
123,58-21-A-11-0,7716-33-9881,SNGL FAM SUB,2.365,AC,310000,0,310000,251800,0,561800,285000,0,285000,228900,0,513900,A2,AG/LTD,,,
124,62-1-0-15-0,7714-23-2205,COMM & IND,1.6,AC,148600,0,148600,163600,1000,313200,135300,0,135300,139100,700,275100,A2,AG/LTD,,,
128,45-1-0-4-0,6798-00-4488,SNGL FAM SUB,1.825,AC,82000,0,82000,115600,8900,206500,73200,0,73200,94300,8900,176400,A2,AG/LTD,,,
129,45-1-0-5-0,6798-00-6349,SNGL FAM SUB,1.363,AC,75100,0,75100,0,1200,76300,67100,0,67100,0,1200,68300,A2,AG/LTD,,,
130,58-3-A-23-0,7726-26-5724,SNGL FAM SUB,0,AC,88000,0,88000,168200,200,256400,80000,0,80000,139400,200,219600,RN,RESIDEN,,,
131,62-4-C-15-0,7714-04-3826,SNGL FAM SUB,0,AC,115000,0,115000,243900,0,358900,100000,0,100000,223700,0,323700,R1,RES/LTD,,,
132,2-3-0-33-0,6824-32-2359,SNGL FAM SUB,3.45,AC,48800,0,48800,134800,4500,188100,47700,0,47700,119200,4500,171400,A1,AG/GEN,,,
133,32-1-0-17-0,6779-83-1564,SNGL FAM SUB,4,AC,107300,0,107300,426100,0,533400,95900,0,95900,352500,0,448400,A2,AG/LTD,,,
134,58-1-0-98-0,7726-21-2984,SNGL FAM SUB,5.16,AC,172700,0,172700,170800,12700,356200,150200,0,150200,145500,10000,305700,A2,AG/LTD,,,
